series_id,description,units
PET.MCRS13D2.M,"North Louisiana, Arkansas Refinery District Sulfur Content (Weighted Average) of Crude Oil Input to Refineries",%
PET.MCRS13E2.M,New Mexico Refinery District Sulfur Content (Weighted Average) of Crude Oil Input to Refineries,%
PET.MCRS1AP2.M,Appalachian No. 1 Refinery District Sulfur Content (Weighted Average) of Crude Oil Input to Refineries,%
PET.MCRS1EC2.M,East Coast Refinery District Sulfur Content (Weighted Average) of Crude Oil Input to Refineries,%
PET.MCRS1P12.M,East Coast (PADD 1) Sulfur Content (Weighted Average) of Crude Oil Input to Refineries,%
PET.MCRS1P22.M,Midwest (PADD 2) Sulfur Content (Weighted Average) of Crude Oil Input to Refineries,%
PET.MCRS1P32.M,Gulf Coast (PADD 3) Sulfur Content (Weighted Average) of Crude Oil Input to Refineries,%
PET.MCRS1P42.M,Rocky Mountains (PADD 4) Sulfur Content (Weighted Average) of Crude Oil Input to Refineries,%
PET.MCRS1P52.M,West Coast (PADD 5) Sulfur Content (Weighted Average) of Crude Oil Input to Refineries,%
PET.MCRS1US2.M,U.S. Sulfur Content (Weighted Average) of Crude Oil Input to Refineries,%
PET.MCRSAUS1.M,U.S. Crude Oil Stocks in Transit (on Ships) from Alaska,Mbbl
PET.MCRSCP12.M,East Coast (PADD 1) Crude Oil Stock Change,Mbbl/d
PET.MCRSCP22.M,Midwest (PADD 2) Crude Oil Stock Change,Mbbl/d
PET.MCRSCP32.M,Gulf Coast (PADD 3) Crude Oil Stock Change,Mbbl/d
PET.MCRSCP42.M,Rocky Mountain (PADD 4) Crude Oil Stock Change,Mbbl/d
PET.MCRSCP52.M,West Coast (PADD 5) Crude Oil Stock Change,Mbbl/d
PET.MCRSCUS2.M,U.S. Crude Oil Stock Change,Mbbl/d
PET.MCRUA_NUS_1.M,U.S. Supply Adjustment of Crude Oil,Mbbl
PET.MCRUA_R10_1.M,East Coast (PADD 1) Supply Adjustment of Crude Oil,Mbbl
PET.MCRUA_R20_1.M,Midwest (PADD 2) Supply Adjustment of Crude Oil,Mbbl
PET.MCRUA_R30_1.M,Gulf Coast (PADD 3) Supply Adjustment of Crude Oil,Mbbl
PET.MCRUA_R40_1.M,Rocky Mountain (PADD 4) Supply Adjustment of Crude Oil,Mbbl
PET.MCRUA_R50_1.M,West Coast (PADD 5) Supply Adjustment of Crude Oil,Mbbl
PET.MCRUPP11.M,East Coast (PADD 1) Product Supplied of Crude Oil,Mbbl
PET.MCRUPP12.M,East Coast (PADD 1) Product Supplied of Crude Oil,Mbbl/d
PET.MCRUPP21.M,Midwest (PADD 2) Product Supplied of Crude Oil,Mbbl
PET.MCRUPP22.M,Midwest (PADD 2) Product Supplied of Crude Oil,Mbbl/d
PET.MCRUPP31.M,Gulf Coast (PADD 3) Product Supplied of Crude Oil,Mbbl
PET.MCRUPP32.M,Gulf Coast (PADD 3) Product Supplied of Crude Oil,Mbbl/d
PET.MCRUPP41.M,Rocky Mountain (PADD 4) Product Supplied of Crude Oil,Mbbl
PET.MCRUPP42.M,Rocky Mountain (PADD 4) Product Supplied of Crude Oil,Mbbl/d
PET.MCRUPP51.M,West Coast (PADD 5) Product Supplied of Crude Oil,Mbbl
PET.MCRUPP52.M,West Coast (PADD 5) Product Supplied of Crude Oil,Mbbl/d
PET.MCRUPUS1.M,U.S. Product Supplied of Crude Oil,Mbbl
PET.MCRUPUS2.M,U.S. Product Supplied of Crude Oil,Mbbl/d
PET.M_EPC00U_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for Unknown API Gravity,Mbbl/d
PET.M_EPC0_EEX_NUS-NCO_MBBL.M,U.S. Exports to Colombia of Crude Oil,Mbbl
PET.M_EPC0_EEX_NUS-NSF_MBBL.M,U.S. Exports to South Africa of Crude Oil,Mbbl
PET.M_EPC0_FPF_SID_MBBL.M,Idaho Field Production of Crude Oil,Mbbl
PET.M_EPC0_SPC_NUS_PER.M,U.S. Percent of Crude Oil Stocks Held in SPR,%
PET.M_EPC0_SPT_NUS_PER.M,U.S. Percent of Total Petroleum Stocks Held in SPR,%
PET.M_EPC0_VSI_NUS_DAYS.M,U.S. SPR Stocks as Days of Supply of Total Petroleum Net Imports,Days
PET.M_EPC20B_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for 20.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC25B_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for 20.1 to 25.0 Degrees API Gravity,Mbbl/d
PET.M_EPC30B_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for 25.1 to 30.0 Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_R3FM_MBBLD.M,Federal Offshore--Gulf of Mexico Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_R98_MBBLD.M,Other States Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SAR_MBBLD.M,Arkansas Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SCA_MBBLD.M,California Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SCO_MBBLD.M,Colorado Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SKS_MBBLD.M,Kansas Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SLA_MBBLD.M,Louisiana Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SMT_MBBLD.M,Montana Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SND_MBBLD.M,North Dakota Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SNM_MBBLD.M,New Mexico Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SOH_MBBLD.M,Ohio Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SOK_MBBLD.M,Oklahoma Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SPA_MBBLD.M,Pennsylvania Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_STX_MBBLD.M,Texas Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SUT_MBBLD.M,Utah Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SWV_MBBLD.M,West Virginia Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC30L_FPF_SWY_MBBLD.M,Wyoming Crude Oil and Lease Condensate Production for 30.0 or Lower Degrees API Gravity,Mbbl/d
PET.M_EPC35B_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for 30.1 to 35.0 Degrees API Gravity,Mbbl/d
PET.M_EPC40B_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for 35.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_R3FM_MBBLD.M,Federal Offshore--Gulf of Mexico Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_R98_MBBLD.M,Other States Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SAR_MBBLD.M,Arkansas Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SCA_MBBLD.M,California Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SCO_MBBLD.M,Colorado Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SKS_MBBLD.M,Kansas Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SLA_MBBLD.M,Louisiana Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SMT_MBBLD.M,Montana Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SND_MBBLD.M,North Dakota Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SNM_MBBLD.M,New Mexico Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SOH_MBBLD.M,Ohio Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SOK_MBBLD.M,Oklahoma Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SPA_MBBLD.M,Pennsylvania Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_STX_MBBLD.M,Texas Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SUT_MBBLD.M,Utah Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SWV_MBBLD.M,West Virginia Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC43B_FPF_SWY_MBBLD.M,Wyoming Crude Oil and Lease Condensate Production for 30.1 to 40.0 Degrees API Gravity,Mbbl/d
PET.M_EPC45B_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for 40.1 to 45.0 Degrees API Gravity,Mbbl/d
PET.M_EPC50B_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for 45.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_R3FM_MBBLD.M,Federal Offshore--Gulf of Mexico Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_R98_MBBLD.M,Other States Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SAR_MBBLD.M,Arkansas Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SCA_MBBLD.M,California Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SCO_MBBLD.M,Colorado Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SKS_MBBLD.M,Kansas Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SLA_MBBLD.M,Louisiana Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SMT_MBBLD.M,Montana Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SND_MBBLD.M,North Dakota Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SNM_MBBLD.M,New Mexico Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SOH_MBBLD.M,Ohio Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SOK_MBBLD.M,Oklahoma Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SPA_MBBLD.M,Pennsylvania Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_STX_MBBLD.M,Texas Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SUT_MBBLD.M,Utah Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SWV_MBBLD.M,West Virginia Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC50G_FPF_SWY_MBBLD.M,Wyoming Crude Oil and Lease Condensate Production for 50.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_R3FM_MBBLD.M,Federal Offshore--Gulf of Mexico Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_R98_MBBLD.M,Other States Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SAR_MBBLD.M,Arkansas Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SCA_MBBLD.M,California Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SCO_MBBLD.M,Colorado Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SKS_MBBLD.M,Kansas Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SLA_MBBLD.M,Louisiana Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SMT_MBBLD.M,Montana Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SND_MBBLD.M,North Dakota Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SNM_MBBLD.M,New Mexico Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SOH_MBBLD.M,Ohio Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SOK_MBBLD.M,Oklahoma Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SPA_MBBLD.M,Pennsylvania Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_STX_MBBLD.M,Texas Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SUT_MBBLD.M,Utah Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SWV_MBBLD.M,West Virginia Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC54B_FPF_SWY_MBBLD.M,Wyoming Crude Oil and Lease Condensate Production for 40.1 to 50.0 Degrees API Gravity,Mbbl/d
PET.M_EPC55B_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for 50.1 to 55.0 Degrees API Gravity,Mbbl/d
PET.M_EPC55G_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for 55.1 or Higher Degrees API Gravity,Mbbl/d
PET.M_EPC99A_FPF_R3FM_MBBLD.M,Federal Offshore--Gulf of Mexico Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_R48_MBBLD.M,Lower 48 States Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_R98_MBBLD.M,Other States Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SAR_MBBLD.M,Arkansas Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SCA_MBBLD.M,California Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SCO_MBBLD.M,Colorado Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SKS_MBBLD.M,Kansas Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SLA_MBBLD.M,Louisiana Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SMT_MBBLD.M,Montana Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SND_MBBLD.M,North Dakota Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SNM_MBBLD.M,New Mexico Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SOH_MBBLD.M,Ohio Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SOK_MBBLD.M,Oklahoma Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SPA_MBBLD.M,Pennsylvania Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_STX_MBBLD.M,Texas Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SUT_MBBLD.M,Utah Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SWV_MBBLD.M,West Virginia Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
PET.M_EPC99A_FPF_SWY_MBBLD.M,Wyoming Crude Oil and Lease Condensate Production for all API Gravity,Mbbl/d
